index,datetime,wall_time,num_env,num_episodes,learning_rate,hidden_layers,min_reward,max_reward,mean_reward,reward_variance,mean_actor_loss,mean_critic_loss,mean_entropy_loss,mean_overall_loss
37,20210407-003658,217.42697172000044,24,50000,0.001,"(64, 64)",21.8,192.5,123.412,41.07842567577293,-0.0027033952365976346,1.209092172282096,-3.105591645240784,1.203277388797677
38,20210407-003658,218.30603228100154,24,50000,0.001,"(128, 128)",20.1,200.0,129.358,45.285101700228076,-0.012285210698028038,1.132179642482428,-3.0922760581970214,1.116816323356796
39,20210407-003658,220.87968620900028,24,50000,0.002,"(32, 32)",17.9,193.8,126.82,43.397511449390734,-0.013190448554790419,1.202564297527913,-3.0937203407287597,1.1862665401054546
40,20210407-003658,218.51161236900043,24,50000,0.002,"(64, 64)",27.4,195.3,133.958,33.88116343929175,-0.015737859720080086,1.0014088992740027,-3.0487891483306884,0.9826058117275126
41,20210407-003658,220.33189033799863,24,50000,0.002,"(128, 128)",32.0,200.0,136.398,35.97356523893622,-0.018014148252126324,0.9666760801573284,-3.0521893167495726,0.9456108439752133
42,20210407-003658,218.65137718500046,24,50000,0.003,"(32, 32)",19.9,188.8,128.02200000000002,37.291737905332326,-0.020363444544266168,1.1310211463779212,-3.0533159446716307,1.107591518997727
43,20210407-003658,219.85492499700013,24,50000,0.003,"(64, 64)",29.9,189.2,136.58800000000002,37.78514332379857,-0.018838691394923442,0.9937961350728991,-3.042683982849121,0.9719003708081553
44,20210407-003658,219.308561672,24,50000,0.003,"(128, 128)",27.8,199.2,133.27200000000002,37.47902367991995,-0.01794580394775221,0.8906008995990734,-3.0164642572402953,0.8696246753134532
45,20210407-003658,414.76185737599917,24,100000,0.001,"(32, 32)",17.2,186.9,126.211,36.900826264461884,-0.016576201233454883,1.186450279225246,-3.1124119186401367,1.1667581352966023
46,20210407-003658,424.08235447800143,24,100000,0.001,"(64, 64)",17.9,200.0,135.958,37.31203071396677,-0.021531633355162377,1.0329325237853686,-3.0644278836250307,1.008314335759892
47,20210407-003658,427.89910456099824,24,100000,0.001,"(128, 128)",25.1,194.5,138.813,33.55452176682004,-0.023647340436274863,0.9615701149211265,-3.0538874673843384,0.9348685811681673
48,20210407-003658,419.62196121099987,24,100000,0.002,"(32, 32)",17.7,197.8,134.292,35.38535199768401,-0.025532152701656763,1.0151603585314588,-3.0319732904434202,0.9865756440802826
49,20210407-003658,427.41490025500025,24,100000,0.002,"(64, 64)",33.8,197.3,137.22799999999998,33.36223937327948,-0.02604785210705613,0.9155552224808257,-3.0428697443008423,0.8864488642162643
50,20210407-003658,428.9454268569989,24,100000,0.002,"(128, 128)",27.2,200.0,141.97699999999998,32.01177238142243,-0.02383111718062255,0.8411146869563964,-3.046613008975983,0.814257686225837
51,20210407-003658,420.20382235000034,24,100000,0.003,"(32, 32)",21.2,187.3,132.98300000000003,32.66615084456692,-0.02440214948448636,0.914953042017133,-3.0346622180938723,0.8875130961206742
52,20210407-003658,425.1975226729992,24,100000,0.003,"(64, 64)",33.8,200.0,136.41899999999998,30.35224108694447,-0.02428709855812234,0.8529414265112253,-3.030352568626404,0.8256337830630364
53,20210407-003658,424.644629593,24,100000,0.003,"(128, 128)",35.3,197.3,134.481,33.100757378041976,-0.0225489724983776,0.8013977720710099,-2.9897674322128296,0.7758604610800975
